Year,City,Gold,Silver,Bronze,SummerGold,SummerSilver,SummerBronze,WinterGold,WinterSilver,WinterBronze
1896,Athina,62,43,38,62,43,38,0,0,0
1900,Paris,201,228,175,201,228,175,0,0,0
1904,St. Louis,173,163,150,173,163,150,0,0,0
1906,Athina,157,156,145,157,156,145,0,0,0
1908,London,294,281,256,294,281,256,0,0,0
1912,Stockholm,326,315,300,326,315,300,0,0,0
1916,NA,0,0,0,0,0,0,0,0,0
1920,Antwerpen,493,448,367,493,448,367,0,0,0
1924,Chamonix,332,319,311,277,281,274,55,38,37
1928,Sankt Moritz,275,267,281,245,239,250,30,28,31
1932,Lake Placid,261,246,232,229,214,204,32,32,28
1936,Garmisch-Partenkirchen,348,347,330,312,310,295,36,37,35
1940,NA,0,0,0,0,0,0,0,0,0
1944,NA,0,0,0,0,0,0,0,0,0
1948,Sankt Moritz,330,332,325,289,284,279,41,48,46
1952,Oslo,351,335,347,306,291,300,45,44,47
1956,Cortina d'Ampezzo,353,342,348,302,293,298,51,49,50
1960,Squaw Valley,359,342,357,309,294,308,50,48,49
1964,Innsbruck,408,406,401,347,339,343,61,67,58
1968,Grenoble,425,410,421,359,340,358,66,70,63
1972,Sapporo,474,455,485,404,392,419,70,63,66
1976,Innsbruck,508,505,518,438,434,448,70,71,70
1980,Lake Placid,529,531,542,457,458,469,72,73,73
1984,Sarajevo,571,551,576,497,477,502,74,74,74
1988,Calgary,607,601,637,520,513,549,87,88,88
1992,Albertville,663,657,710,559,549,604,104,108,106
1994,Lillehammer,110,109,112,0,0,0,110,109,112
1996,Atlanta,608,605,629,608,605,629,0,0,0
1998,Nagano,145,145,150,0,0,0,145,145,150
2000,Sydney,663,661,680,663,661,680,0,0,0
2002,Salt Lake City,162,157,159,0,0,0,162,157,159
2004,Athina,664,660,677,664,660,677,0,0,0
2006,Torino,176,175,175,0,0,0,176,175,175
2008,Beijing,671,667,710,671,667,710,0,0,0
2010,Vancouver,174,175,171,0,0,0,174,175,171
2012,London,632,630,679,632,630,679,0,0,0
2014,Sochi,202,197,198,0,0,0,202,197,198
2016,Rio de Janeiro,665,655,703,665,655,703,0,0,0
